"","feat","feat_url","feat_downloads","feat_category","feat_created","pred","beta","i_srvmax","nobs","friv","inst_type","inst_selection","boundary","action_other_up","action_other_down","action_admin","role_rank","role_type","economy","communication","rbasic","rbiophys","popvol","popforce","rprevent","rexternal","rhetero","rincntv","rinst","rtech","rspat","rsoccap","rleader","rinfopred","rnorms"
"1","coreprotect","http://mods.curse.com/bukkit-plugins/minecraft/coreprotect",771267,"Anti-Griefing Tools",1331294659,"coreprotect",0.00762157919267196,FALSE,29,FALSE,"No discretion","Automatic",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"2","griefprevention","http://mods.curse.com/bukkit-plugins/minecraft/griefprevention",NA,"",NA,"griefprevention",0.0200465462739744,FALSE,18,FALSE,"No discretion","Automatic",0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
"3","logblock","http://mods.curse.com/bukkit-plugins/minecraft/logblock",438910,"Anti-Griefing Tools",1314228527,"logblock",0.00263213498759367,FALSE,33,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
"4","worldedit","http://mods.curse.com/bukkit-plugins/minecraft/worldedit",13790800,"World Editing and Management",1314232481,"worldedit",-0.00548712252878436,FALSE,499,FALSE,"N/A","N/A",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"5","zavautomessager","http://mods.curse.com/bukkit-plugins/minecraft/zavautomessager",212402,"Chat Related",1325755924,"zavautomessager",-0.00928257142274198,FALSE,25,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6","chestshop","http://mods.curse.com/bukkit-plugins/minecraft/chestshop",4687242,"Economy",1314307305,"srvmax_chestshop",-0.0235685756520332,TRUE,45,FALSE,"N/A","N/A",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"7","coreprotect","http://mods.curse.com/bukkit-plugins/minecraft/coreprotect",771267,"Anti-Griefing Tools",1331294659,"srvmax_coreprotect",0.00651820341515177,TRUE,29,FALSE,"No discretion","Automatic",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"8","enjinminecraftplugin","http://mods.curse.com/bukkit-plugins/minecraft/enjinminecraftplugin",NA,"",NA,"srvmax_enjinminecraftplugin",0.00888802319741956,TRUE,9,FALSE,"N/A","N/A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"9","griefprevention","http://mods.curse.com/bukkit-plugins/minecraft/griefprevention",NA,"",NA,"srvmax_griefprevention",0.0873462652088375,TRUE,18,FALSE,"No discretion","Automatic",0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0
"10","libsdisguises","http://mods.curse.com/bukkit-plugins/minecraft/libsdisguises",NA,"",NA,"srvmax_libsdisguises",0.0405639687920527,TRUE,4,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","logblock","http://mods.curse.com/bukkit-plugins/minecraft/logblock",438910,"Anti-Griefing Tools",1314228527,"srvmax_logblock",0.0187687183498823,TRUE,33,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
"12","lwc","http://mods.curse.com/bukkit-plugins/minecraft/lwc",1747386,"Anti-Griefing Tools",1315512972,"srvmax_lwc",-0.0154612881337876,TRUE,133,FALSE,"No discretion","Automatic",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"13","maxbans","http://mods.curse.com/bukkit-plugins/minecraft/maxbans",163205,"Admin Tools",1356494107,"srvmax_maxbans",0.0645847150153303,TRUE,6,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"14","nocheatplus","http://mods.curse.com/bukkit-plugins/minecraft/nocheatplus",1442605,"Anti-Griefing Tools",1333400079,"srvmax_nocheatplus",0.0101506572803935,TRUE,103,FALSE,"N/A","Automatic",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"15","permissionsbukkit","http://mods.curse.com/bukkit-plugins/minecraft/permissionsbukkit",NA,"",NA,"srvmax_permissionsbukkit",-0.0091642583399611,TRUE,7,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"16","permissionsex","http://mods.curse.com/bukkit-plugins/minecraft/permissionsex",9391274,"Admin Tools",1314315536,"srvmax_permissionsex",0.0466719035614421,TRUE,154,FALSE,"N/A","Automatic",0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
"17","protocollib","http://mods.curse.com/bukkit-plugins/minecraft/protocollib",1806881,"Developer Tools",1349409127,"srvmax_protocollib",0.00887150060133461,TRUE,50,TRUE,"N/A","N/A",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","skinsrestorer","http://mods.curse.com/bukkit-plugins/minecraft/skinsrestorer",NA,"",NA,"srvmax_skinsrestorer",0.0232280003869588,TRUE,9,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","vanishnopacket","http://mods.curse.com/bukkit-plugins/minecraft/vanishnopacket",NA,"",NA,"srvmax_vanishnopacket",0.00550668980359468,TRUE,17,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"20","vault","http://mods.curse.com/bukkit-plugins/minecraft/vault",4595343,"Economy",1319219788,"srvmax_vault",0.0550964259716911,TRUE,123,FALSE,"No discretion","Automatic",0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"21","votifier","http://mods.curse.com/bukkit-plugins/minecraft/votifier",515004,"Developer Tools",1318456842,"srvmax_votifier",0.0232109693626516,TRUE,16,FALSE,"N/A","Automatic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"22","worldborder","http://mods.curse.com/bukkit-plugins/minecraft/worldborder",744459,"Mechanics",1314755584,"srvmax_worldborder",0.0187748919623907,TRUE,31,FALSE,"N/A","Automatic",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"23","zavautomessager","http://mods.curse.com/bukkit-plugins/minecraft/zavautomessager",212402,"Chat Related",1325755924,"srvmax_zavautomessager",-0.00513660421612497,TRUE,25,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
